"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"1.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ102V","Digikey","P1.0KECT-ND","R16 R17 R18 R19 R20 R21 R24","7"
"1.0M ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ105V","Digikey","P1.0MECT-ND","R6 R7","2"
"1N4148","SM","","NXP","PMLL4148L,135","Digikey","568-8106-1-ND","D2 D3 D4","3"
"1uF 50V X7R","SM1206","","TDK","C3216X7R1H105K","Digikey","445-1423-1-ND","C7","1"
"1x10 Header Socket","DIL","","Harwin","75915-310LF","Digikey","75915-310LF","J2 J1","2"
"2.2uF 50V Y5V","SM1206","","TDK","C3216Y5V1H225Z/0.85","Digikey","445-4585-1-ND","C4 C9","2"
"3.3V D2-Pak [LD1086]","SMS4","","ST Microelectroincs","LD1086D2T33TR","Digikey","497-1224-1-ND","U2","1"
"10 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ100V","Digikey","P10ECT-ND","R22 R23 R25 R26 R27","5"
"10k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ103V","Digikey","P10KECT-ND","R3 R4 R10 R13 R12 R28","6"
"10nF 50V X7R","SM1206","","TDK","C3216C0G1H103J/1.15","Digikey","445-1375-1-ND","C6 C8","2"
"10uF 25V X7R","SM1206","","Taiyo Yuden","TMK316B7106KL-TD","Digikey","587-2399-1-ND","C5 C13 C10 C11 C2 C14 C15 C16 C17","9"
"13k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ133V","Digikey","P13KECT-ND","R5 R14 R15","3"
"80m Ohm 3W Sense","SM","","Bourns","CRA2512-FZ-R080ELF","Digikey","CRA2512-FZ-R080ELFCT-ND","R2","1"
"100nF 50V X7R","SM1206","","TDK","C3216X7R1H104K","Digikey","445-4007-1-ND","C3","1"
"220uF 63V Electrolitic","DSCV","","Panasonic","EEU-EB1J221","Digikey","P13141-ND","C1","1"
"B550C","SM","","Diodes Inc","B550C-13-F","Digikey","B550C-FDICT-ND","D1","1"
"FODM8061","SM","","Fairchild","FODM8061","Digikey","FODM8061-ND","U9","1"
"HIP4082","SM","","Intersil","HIP4082IBZ","Digikey","HIP4082IBZ-ND","U1","1"
"IRFZ34NS","SMS7","","International Recitifer","IRFZ34NSTRLPBF","Digikey","IRFZ34NSTRLPBFCT-ND","Q1 Q2 Q3 Q4","4"
"L7812 D2-Pak","SMS4","","ST Microelectronics","L7812ABD2T-TR","Digikey","497-6037-1-ND","U6","1"
"LM339","SM","","Texas Instruments","LM339DR","Digikey","296-1013-1-ND","U5","1"
"MCP616","SM","","Microchip","MCP616-I/MS","Digikey","MCP616-I/SN-ND","U7","1"
"Power Jack 2.5mm x 5.5mm","SM","","CUI Inc","PJ-002BH-SMT","Digikey","CP-002BHPJCT-ND","J5","1"
"PTC 290mA Trip-125mA Hold","SM1206","","Littelfuse Inc","1206L012WR","Digikey","F2864CT-ND","R29","1"
"RJ12 Molex Plastic","SM","","Molex","95501-6669","Digikey","WM5575-ND","J3 J4","2"
"Si9986","SM","","Vishay","SI9986DY-T1-E3","Digikey","SI9986DY-T1-E3CT-ND","U14","1"
"Terminal Block 2 Wire - 100mil","DIL","","TE Connectivity","282834-2","Digikey","A98333-ND","J8","1"
"Terminal Block 2 Wire - 200mil","MISC","","TE Connectivity","282841-2","Digikey","A98342-ND","J7 J6","2"
"","","","","","","","","64"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
